name,district,latitude,longitude,proj_area,nbr_buildings,nbr_floors,units,hospital,price_sqm,id,bld_age,dist_shop_1,dist_shop_2,dist_shop_3,dist_shop_4,dist_shop_5,dist_school_1,dist_school_2,dist_school_3,dist_school_4,dist_school_5,dist_food_1,dist_food_2,dist_food_3,dist_food_4,dist_food_5,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,tran_type1,tran_type2,tran_type3,tran_type4,tran_type5,tran_name1,tran_name2,tran_name3,tran_name4,tran_name5,dist_tran_1,dist_tran_2,dist_tran_3,dist_tran_4,dist_tran_5
101 Mansion,Bang Kapi,13.7874348,100.6315637,23371,5,5,834.0,2.1,10577,0,28,1.5,2.1,2.3,2.7,4.3,1.2,1.4,1.5,1.5,1.5,0.48,0.87,1.3,1.3,1.3,0,0,0,1,0,0,0,1,0,1,0,0,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Yothin Phatthana Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,4.3,4.8,5.0,8.1,8.3
624 Condolette Ladprao,Bang Kapi,13.766348,100.649395,6476,2,8,471.0,1.8,49059,1,8,0.4,0.79,0.83,0.85,1.1,0.56,0.72,0.74,0.78,0.83,0.4,0.4,0.59,0.74,0.74,1,1,1,1,0,0,1,1,0,1,1,1,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,5.8,6.2,6.5,9.8,9.9
Adamas Ramkhamhaeng,Bang Kapi,13.7524478,100.61550720000001,4699,1,16,140.0,2.3,31129,2,24,0.003,0.003,0.002,0.002,0.91,0.64,0.64,0.73,0.85,0.87,0.3,0.51,0.52,0.53,0.58,1,1,1,1,0,0,0,0,0,1,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,2.1,2.5,2.9,6.1,6.3
Aspire Ladprao 113,Bang Kapi,13.770285999999999,100.638799,3816,1,8,270.0,0.68,87368,3,3,0.002,0.53,0.64,0.64,0.65,0.71,0.72,0.73,0.91,0.92,0.3,0.4,0.52,0.53,0.58,1,1,1,1,1,1,1,0,0,0,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,4.7,5.4,6.1,8.5,8.7
B.R. Condo,Bang Kapi,13.768706,100.63887599999998,7391,2,10,560.0,0.69,42597,4,28,0.002,0.5,0.66,0.71,0.73,0.63,0.74,0.79,0.99,1.0,0.18,0.37,0.5,0.53,0.53,1,1,1,1,0,0,0,0,0,1,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,4.7,5.4,6.1,8.5,8.6
Bangkapi Condotown,Bang Kapi,13.771784099999998,100.64467370000001,15161,5,11,1553.0,2.0,19071,5,27,0.084,0.66,0.96,1.2,1.2,0.24,0.56,0.92,1.3,1.3,0.39,0.92,0.92,0.92,0.92,1,1,1,1,0,0,0,0,0,1,0,0,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Sutthisan,Huai Khwang,6.0,6.5,6.7,9.8,10.0
Bangkok Horizon Ramkhamhaeng,Bang Kapi,13.762944899999999,100.6484782,5568,1,38,592.0,1.4,63000,6,9,0.48,0.64,1.0,1.1,1.3,0.28,0.37,0.71,0.8,0.94,0.28,0.39,0.44,0.48,0.54,1,1,1,1,1,1,1,1,0,1,1,1,Srinagarindra Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Phra Khanong,Srinagarindra Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Phra Khanong,5.8,6.1,6.3,9.4,9.8
Bliz Condominium Bearing,Bang Kapi,13.773062,100.63424609999998,1504,1,8,79.0,1.8,54741,7,7,1.5,1.5,2.4,2.8,4.9,1.1,1.3,2.2,2.5,2.5,1.3,1.6,1.6,1.6,1.6,1,1,1,1,1,0,1,0,0,0,0,0,Bearing,Bang Na,Bang Na Toll Plaza,Udom Suk,Pak Nam Toll Plaza-Outbound 2,Bearing,Bang Na,Bang Na Toll Plaza,Udom Suk,Pak Nam Toll Plaza-Outbound 2,1.4,2.2,3.4,3.5,3.6
Chewathai Ramkamhaeng,Bang Kapi,13.761382399999999,100.6331327,6400,1,36,400.0,0.46,89261,8,6,0.6,1.0,1.3,1.4,1.5,0.39,0.39,0.5,0.57,0.99,0.35,0.48,0.48,0.52,0.55,1,1,1,1,1,1,1,1,0,0,0,1,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Huai Khwang,Thailand Cultural Centre,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Huai Khwang,Thailand Cultural Centre,4.1,4.5,4.9,7.7,7.8
City Villa,Bang Kapi,13.7725975,100.62994,14368,8,9,1748.0,0.98,24184,9,22,1.1,1.2,2.0,1.7,1.8,0.63,0.66,0.87,0.89,0.95,0.23,0.101,0.13,0.57,0.57,1,1,1,1,1,0,0,1,1,1,1,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,3.7,4.4,5.7,7.5,7.7
Condo U @ Huamak Station,Bang Kapi,13.751934900000002,100.6365273,5300,2,8,408.0,1.3,53226,10,6,1.7,2.2,2.2,2.4,2.5,1.1,1.2,1.3,1.4,1.5,0.22,0.55,0.6,0.61,0.66,1,1,1,1,1,0,1,1,0,0,0,0,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Phra Khanong,Ekkamai,4.1,5.6,6.8,8.8,8.9
D Condo Ramkhamhaeng,Bang Kapi,13.7496291,100.6076671,17194,5,8,1114.0,1.1,63793,11,7,0.058,0.003,0.003,0.002,0.002,0.45,0.61,0.65,1.1,1.2,0.003,0.003,0.003,0.003,0.003,1,1,1,1,1,1,1,1,0,1,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,1.2,1.3,1.7,4.9,5.0
D Condo Ramkhamhaeng 64,Bang Kapi,13.764691899999999,100.65364699999999,14047,2,8,486.0,2.0,60505,12,6,1.0,1.0,1.2,1.2,1.6,0.7,0.7,0.77,0.77,0.81,0.094,0.094,0.17,0.17,0.25,1,1,1,1,1,0,1,1,0,0,0,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Thap Chang Toll Plaza-Inbound,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Thap Chang Toll Plaza-Inbound,6.4,6.4,6.8,6.8,7.0
Fak Khao Pode,Bang Kapi,13.757884299999999,100.63931219999999,14760,3,21,960.0,0.79,38288,13,15,0.62,1.1,1.3,1.4,1.5,1.4,1.4,1.4,1.4,1.5,0.44,0.58,0.63,0.71,0.81,1,1,1,1,0,0,0,1,1,1,1,1,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Pracha Uthit Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,4.9,5.6,6.0,9.2,9.4
Four Wings Residence,Bang Kapi,13.754499651486821,100.64594708717071,8332,1,26,470.0,1.7,93287,14,11,1.0,1.1,1.1,1.1,1.1,0.85,0.89,0.89,0.89,0.89,0.53,0.57,0.57,0.57,0.57,1,1,1,1,1,0,1,1,0,0,0,1,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,4.8,4.8,4.8,4.8,4.8
Garden Condo Huamark,Bang Kapi,13.7589029,100.6169983,4880,2,18,540.0,1.8,51006,15,13,0.026,0.11,0.93,3.0,3.0,0.3,0.3,0.36,0.36,0.39,0.018,0.35,0.35,0.35,0.38,1,1,1,1,1,0,1,0,0,0,0,1,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Pracha Uthit Toll Plaza,Huai Khwang,Thailand Cultural Centre,2.4,2.7,2.7,5.9,6.0
H.R. Residence,Bang Kapi,13.77547,100.643378,35200,20,9,2812.0,2.9,15217,16,16,1.7,1.7,1.8,1.9,2.2,1.4,1.9,2.0,2.1,2.3,0.59,0.63,0.99,0.99,1.2,0,0,0,1,1,0,0,1,0,0,0,0,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,6.8,7.6,7.7,11.0,11.0
Happy Home,Bang Kapi,13.748245,100.6094502,32000,8,6,360.0,1.4,45054,17,12,0.51,0.002,0.002,0.003,0.003,0.65,0.71,0.88,1.2,1.2,0.5,0.51,0.51,0.51,0.002,1,1,1,1,0,0,0,0,0,0,0,0,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Ramkhamhaeng Toll Plaza,Phatthanakan 2 Toll Plaza,Phra Khanong,Ekkamai,0.9,1.6,2.0,5.2,5.4
Inspire Place ABAC-Rama IX,Bang Kapi,13.7549446,100.62613640000001,4924,2,19,639.0,2.0,48666,18,13,1.2,1.5,1.6,1.9,2.1,0.31,0.71,0.75,0.95,1.0,0.0,0.19,0.21,0.23,0.28,1,1,1,1,1,0,1,1,0,0,0,0,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Pracha Uthit Toll Plaza,Phra Khanong,Ekkamai,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Pracha Uthit Toll Plaza,Phra Khanong,Ekkamai,2.7,4.2,4.3,7.4,7.5
Le Celeste Rama 9-Srinakarin,Bang Kapi,13.748415,100.6457199,1776,1,8,69.0,1.0,47690,19,11,1.6,1.6,1.9,1.9,2.4,0.91,0.91,1.3,1.3,1.5,0.65,0.65,0.71,0.71,0.89,1,1,1,1,1,0,1,0,0,0,0,0,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,Srinagarindra Toll Plaza,Srinagarindra Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 2 Toll Plaza,Phatthanakan 1 Toll Plaza,4.1,4.1,5.7,5.7,7.5
Lumpini Center Happyland,Bang Kapi,13.77384,100.64153,22428,3,8,470.0,1.6,45135,20,17,0.47,0.55,0.78,0.9,2.0,0.15,0.91,1.1,1.6,1.6,0.027,0.22,0.29,0.002,0.55,1,1,1,1,0,0,1,1,1,0,0,1,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Srinagarindra Toll Plaza,Sutthisan,Huai Khwang,5.6,6.3,6.4,9.4,9.6
Lumpini Center Ladprao 111,Bang Kapi,13.771329999999999,100.637772,10028,7,7,856.0,0.042,36264,21,16,0.002,0.002,0.002,0.8,0.8,0.31,0.31,0.31,0.36,0.36,0.12,0.12,0.12,0.31,0.31,1,1,1,1,0,0,1,1,0,1,1,0,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Lat Phrao Toll Plaza,Pracha Uthit Toll Plaza,Pracha Uthit Toll Plaza,4.3,4.3,4.3,5.0,5.0
