,coef
latitude,-1118.5186531064867
longitude,-13666.84463430583
year_built,16596.559281730035
proj_area,1705.48433387523
nbr_buildings,146.22346704579115
nbr_floors,25982.098377956176
units,-8421.959894275491
hospital,-4848.449636951802
dist_shop_1,30.763493929449247
dist_shop_2,-14.613584833667996
dist_shop_3,-61.31567399799204
dist_shop_4,162.09274660589253
dist_shop_5,-151.98787006373342
dist_school_1,755.4335541956614
dist_school_2,-143.35053526116255
dist_school_3,-4030.642332539552
dist_school_4,4628.015460053418
dist_school_5,-1084.669723463768
dist_food_1,161.18921784204028
dist_food_2,17.455890434710074
dist_food_3,-819.4890226273739
dist_food_4,-241.38070750300753
dist_food_5,-184.34402732680658
Elevator,-3826.5456895914745
Parking,11014.961288819182
Security,-24575.11523898221
CCTV,-41291.28313211293
Pool,3211.1859078568814
Sauna,1226.9382875153854
Gym,-5379.514660492986
Garden,7267.820559400847
Playground,-5981.732708528778
Shop,-3945.9938815920627
Restaurant,-1090.9462929355643
Wifi,-133.3704035446258
dist_tran_1,-189.05192113196642
dist_tran_2,-3690.1262348594387
dist_tran_3,-1709.002344593354
dist_tran_4,4055.7995327522044
dist_tran_5,-2931.6942075086545
district_Bang Kapi,1497.9998371752808
district_Bang Khae,-46139.88821449897
district_Bang Khen,-13109.745784898787
district_Bang Kho Laem,-9935.585475512444
district_Bang Khun Thian,-5311.757694114193
district_Bang Na,-5590.647042943178
district_Bang Phlat,-9998.444758546819
district_Bang Rak,41270.01870238979
district_Bang Sue,-15424.101008861206
district_Bangkok Noi,-10344.700696717995
district_Bangkok Yai,-52921.67919926175
district_Bueng Kum,3021.2882627206077
district_Chatuchak,-4689.136058924898
district_Chom Thong,-36621.693330518785
district_Din Daeng,-8840.37027810161
district_Don Mueang,-23693.6060478197
district_Dusit,33453.736917537884
district_Huai Khwang,1351.5650558194645
district_Khan Na Yao,22836.353662264843
district_Khlong San,-11218.399120975273
district_Khlong Toei,44126.475944880054
district_Lak Si,-20071.513830716336
district_Lat Krabang,31327.747465855166
district_Lat Phrao,-6695.899650047846
district_Min Buri,28106.939373468118
district_Pathum Wan,56042.27456785398
district_Phasi Charoen,-52562.89682688066
district_Phaya Thai,12685.023626268518
district_Phra Khanong,9378.01985463944
district_Pom Prap Sattru Phai,0.0
district_Prawet,15603.248585854966
district_Rat Burana,-40095.46782122329
district_Ratchathewi,22632.94225644311
district_Sai Mai,67780.67491764748
district_Samphanthawong,4193.101909290148
district_Sathon,14278.64899743906
district_Suan Luang,8686.191585850735
district_Taling Chan,-31416.96259732257
district_Thon Buri,-40115.04101546025
district_Wang Thonglang,-10495.845395500202
district_Watthana,37682.78172188436
district_Yan Nawa,-661.6515244798305
